피부톤,피부타입,피부고민,선호스타일
가을웜톤,건성,트러블,데일리
여름쿨톤,중성,블랙헤드/모공,유니크(힙)
봄웜톤,지성,블랙헤드/모공,섹시
가을웜톤,민감성,주름/탄력,섹시
봄웜톤,복합성,트러블,청순
여름쿨톤,건성,각질,청순
여름쿨톤,중성,트러블,데일리
여름쿨톤,중성,민감성/아토피,섹시
쿨톤,지성,민감성/아토피,유니크(힙)
봄웜톤,민감성,잡티/미백/홍조/다크서클,섹시
웜톤,중성,트러블,러블리
봄웜톤,중성,민감성/아토피,유니크(힙)
겨울쿨톤,복합성,트러블,섹시
쿨톤,민감성,트러블,데일리
쿨톤,건성,각질,유니크(힙)
웜톤,민감성,블랙헤드/모공,데일리
쿨톤,지성,트러블,데일리
여름쿨톤,민감성,블랙헤드/모공,청순
겨울쿨톤,복합성,잡티/미백/홍조/다크서클,유니크(힙)
겨울쿨톤,지성,각질,러블리
웜톤,건성,민감성/아토피,유니크(힙)
겨울쿨톤,지성,트러블,청순
가을웜톤,중성,민감성/아토피,청순
겨울쿨톤,민감성,각질,섹시
여름쿨톤,중성,민감성/아토피,청순
겨울쿨톤,중성,블랙헤드/모공,데일리
여름쿨톤,민감성,블랙헤드/모공,유니크(힙)
여름쿨톤,복합성,잡티/미백/홍조/다크서클,청순
겨울쿨톤,복합성,블랙헤드/모공,데일리
겨울쿨톤,중성,블랙헤드/모공,섹시
여름쿨톤,민감성,잡티/미백/홍조/다크서클,청순
웜톤,중성,각질,청순
봄웜톤,중성,주름/탄력,러블리
쿨톤,지성,각질,유니크(힙)
봄웜톤,건성,각질,청순
여름쿨톤,지성,주름/탄력,섹시
여름쿨톤,복합성,트러블,러블리
웜톤,건성,트러블,청순
가을웜톤,중성,각질,섹시
봄웜톤,건성,민감성/아토피,섹시
봄웜톤,민감성,블랙헤드/모공,데일리
봄웜톤,민감성,각질,데일리
웜톤,중성,블랙헤드/모공,청순
쿨톤,복합성,잡티/미백/홍조/다크서클,유니크(힙)
쿨톤,건성,각질,유니크(힙)
여름쿨톤,복합성,블랙헤드/모공,청순
쿨톤,중성,블랙헤드/모공,러블리
겨울쿨톤,민감성,주름/탄력,유니크(힙)
가을웜톤,지성,잡티/미백/홍조/다크서클,러블리
여름쿨톤,복합성,민감성/아토피,섹시
여름쿨톤,건성,각질,러블리
쿨톤,건성,주름/탄력,섹시
가을웜톤,건성,잡티/미백/홍조/다크서클,유니크(힙)
쿨톤,중성,트러블,러블리
여름쿨톤,건성,잡티/미백/홍조/다크서클,유니크(힙)
겨울쿨톤,지성,주름/탄력,러블리
가을웜톤,복합성,잡티/미백/홍조/다크서클,러블리
봄웜톤,복합성,각질,섹시
웜톤,건성,주름/탄력,러블리
여름쿨톤,중성,블랙헤드/모공,러블리
쿨톤,민감성,잡티/미백/홍조/다크서클,유니크(힙)
웜톤,지성,각질,러블리
여름쿨톤,복합성,주름/탄력,청순
봄웜톤,지성,주름/탄력,러블리
겨울쿨톤,중성,트러블,러블리
봄웜톤,복합성,트러블,유니크(힙)
가을웜톤,중성,민감성/아토피,섹시
가을웜톤,복합성,각질,청순
여름쿨톤,복합성,각질,청순
쿨톤,중성,잡티/미백/홍조/다크서클,청순
봄웜톤,복합성,각질,섹시
여름쿨톤,중성,각질,청순
가을웜톤,민감성,트러블,러블리
겨울쿨톤,복합성,민감성/아토피,유니크(힙)
여름쿨톤,민감성,트러블,청순
쿨톤,지성,각질,러블리
쿨톤,복합성,트러블,데일리
여름쿨톤,건성,각질,유니크(힙)
웜톤,민감성,각질,청순
겨울쿨톤,민감성,잡티/미백/홍조/다크서클,유니크(힙)
여름쿨톤,복합성,블랙헤드/모공,러블리
봄웜톤,복합성,민감성/아토피,섹시
가을웜톤,민감성,블랙헤드/모공,유니크(힙)
봄웜톤,민감성,잡티/미백/홍조/다크서클,데일리
봄웜톤,민감성,잡티/미백/홍조/다크서클,청순
쿨톤,중성,잡티/미백/홍조/다크서클,청순
쿨톤,복합성,잡티/미백/홍조/다크서클,러블리
가을웜톤,지성,트러블,섹시
여름쿨톤,건성,블랙헤드/모공,청순
웜톤,중성,트러블,청순
여름쿨톤,건성,트러블,섹시
겨울쿨톤,건성,주름/탄력,러블리
가을웜톤,지성,블랙헤드/모공,청순
웜톤,복합성,각질,데일리
가을웜톤,민감성,각질,러블리
봄웜톤,지성,블랙헤드/모공,섹시
겨울쿨톤,중성,주름/탄력,러블리
웜톤,중성,각질,데일리
가을웜톤,건성,잡티/미백/홍조/다크서클,유니크(힙)
쿨톤,복합성,민감성/아토피,유니크(힙)
봄웜톤,건성,블랙헤드/모공,데일리
겨울쿨톤,중성,민감성/아토피,청순
여름쿨톤,복합성,잡티/미백/홍조/다크서클,러블리
쿨톤,지성,블랙헤드/모공,유니크(힙)
가을웜톤,복합성,각질,러블리
봄웜톤,복합성,블랙헤드/모공,섹시
겨울쿨톤,건성,주름/탄력,데일리
웜톤,건성,블랙헤드/모공,유니크(힙)
봄웜톤,복합성,민감성/아토피,러블리
가을웜톤,중성,민감성/아토피,섹시
웜톤,중성,블랙헤드/모공,청순
봄웜톤,복합성,민감성/아토피,섹시
웜톤,복합성,주름/탄력,청순
웜톤,지성,블랙헤드/모공,데일리
웜톤,민감성,민감성/아토피,유니크(힙)
가을웜톤,중성,민감성/아토피,청순
봄웜톤,중성,민감성/아토피,섹시
겨울쿨톤,복합성,민감성/아토피,러블리
봄웜톤,지성,잡티/미백/홍조/다크서클,청순
겨울쿨톤,지성,잡티/미백/홍조/다크서클,섹시
